name,latent_path,original_bytes,openzl_bytes,zstd_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,openzl_mb,zstd_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,openzl_mib,zstd_mib,ratio_original_to_openzl,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right.pt,20953634,18717815,18674520,43295,2235819,20.953634,18.717815,18.67452,0.043295,2.235819,19.982943,17.850699,17.80941,1.119449,0.23184,10.670316,82c065cc38b67653077a9bbe882d3771f16d0de3494c432135ee8f9b964b52e4,82c065cc38b67653077a9bbe882d3771f16d0de3494c432135ee8f9b964b52e4,True
053_temporal_style_r01_p046_a_cute_happy_corgi_playing_in_park_sunset_tilt_down,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/053_temporal_style_r01_p046_a_cute_happy_corgi_playing_in_park_sunset_tilt_down.pt,20953761,19185851,19165886,19965,1767910,20.953761,19.185851,19.165886,0.019965,1.76791,19.983064,18.297053,18.278013,1.092147,0.104169,8.437197,30cd232ec3e49fb505e8bfa50fb76a88df5d5c4ee3a936e949ac45a85c5912c8,30cd232ec3e49fb505e8bfa50fb76a88df5d5c4ee3a936e949ac45a85c5912c8,True
054_temporal_style_r02_p073_a_couple_in_formal_evening_wear_going_home_get_caught_in_a_heavy_downpour_with_u,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/054_temporal_style_r02_p073_a_couple_in_formal_evening_wear_going_home_get_caught_in_a_heavy_downpour_with_u.pt,20954092,19143834,19139664,4170,1810258,20.954092,19.143834,19.139664,0.00417,1.810258,19.983379,18.256983,18.253006,1.094561,0.021787,8.639162,9f8ef93bd987e5813675b5bd267b48faaccefd3a19e5cdfb4c0c01673c546467,9f8ef93bd987e5813675b5bd267b48faaccefd3a19e5cdfb4c0c01673c546467,True
055_temporal_style_r03_p090_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/055_temporal_style_r03_p090_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh.pt,20954220,19097279,19086813,10466,1856941,20.95422,19.097279,19.086813,0.010466,1.856941,19.983501,18.212584,18.202603,1.097236,0.054834,8.861895,30db96cefcf14a196b6df3cdf1920a97d6449135aa8d82ba42e749b195db938d,30db96cefcf14a196b6df3cdf1920a97d6449135aa8d82ba42e749b195db938d,True
056_appearance_style_r00_p005_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_in_cyberpunk_style,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/056_appearance_style_r00_p005_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_in_cyberpunk_style.pt,20954078,19089971,19075789,14182,1864107,20.954078,19.089971,19.075789,0.014182,1.864107,19.983366,18.205615,18.19209,1.097648,0.074346,8.896154,419063276c715dd988d734d33557ea114021aa2bcadd077f69ceb7f7a7a7788a,419063276c715dd988d734d33557ea114021aa2bcadd077f69ceb7f7a7a7788a,True
057_appearance_style_r01_p008_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_surrealism_style,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/057_appearance_style_r01_p008_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_surrealism_style.pt,20954064,18985347,18965461,19886,1968717,20.954064,18.985347,18.965461,0.019886,1.968717,19.983353,18.105838,18.086873,1.103697,0.104854,9.395395,b08d65a9d056751a0beaaa38b538becc82f2b09100c1848847e5a2d99a5950bb,b08d65a9d056751a0beaaa38b538becc82f2b09100c1848847e5a2d99a5950bb,True
058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo.pt,20954071,19211916,19208306,3610,1742155,20.954071,19.211916,19.208306,0.00361,1.742155,19.983359,18.321911,18.318468,1.090681,0.018794,8.31416,bf7e24841aa5caa2a48c5d43af951b2e7f4b9e24459e527dfe49fbede9a8536b,bf7e24841aa5caa2a48c5d43af951b2e7f4b9e24459e527dfe49fbede9a8536b,True
059_appearance_style_r03_p084_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/059_appearance_style_r03_p084_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh.pt,20954234,19091858,19091608,250,1862376,20.954234,19.091858,19.091608,0.00025,1.862376,19.983515,18.207415,18.207176,1.097548,0.001309,8.887827,0f545a19a200aedc3063e2e56c6f5dc7934129becc83aca8f432876d0959852b,0f545a19a200aedc3063e2e56c6f5dc7934129becc83aca8f432876d0959852b,True
060_overall_consistency_r00_p010_fireworks,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/060_overall_consistency_r00_p010_fireworks.pt,20953118,19063622,19052537,11085,1889496,20.953118,19.063622,19.052537,0.011085,1.889496,19.98245,18.180487,18.169915,1.099115,0.058181,9.017732,d538d9f5335002f34bfda4a14bdd51845d2ed9518a86132985b953b104c541df,d538d9f5335002f34bfda4a14bdd51845d2ed9518a86132985b953b104c541df,True
061_overall_consistency_r01_p012_flying_through_fantasy_landscapes,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/061_overall_consistency_r01_p012_flying_through_fantasy_landscapes.pt,20953542,19195843,19179482,16361,1757699,20.953542,19.195843,19.179482,0.016361,1.757699,19.982855,18.306582,18.290979,1.091567,0.085305,8.388553,9a551fac6a767558a5fc356e7e40433abde7a28cbae5c79d2ff97a697281904d,9a551fac6a767558a5fc356e7e40433abde7a28cbae5c79d2ff97a697281904d,True
062_overall_consistency_r02_p029_campfire_at_night_in_a_snowy_forest_with_starry_sky_in_the_background,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/062_overall_consistency_r02_p029_campfire_at_night_in_a_snowy_forest_with_starry_sky_in_the_background.pt,20954050,19065240,19066068,-828,1888810,20.95405,19.06524,19.066068,-0.000828,1.88881,19.983339,18.18203,18.182819,1.099071,-0.004343,9.014057,e75baa7ef6b17632428ca3807d273c8286c5817cfa2913216ff2815e6379dfa3,e75baa7ef6b17632428ca3807d273c8286c5817cfa2913216ff2815e6379dfa3,True
063_overall_consistency_r03_p037_an_astronaut_is_riding_a_horse_in_the_space_in_a_photorealistic_style,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/063_overall_consistency_r03_p037_an_astronaut_is_riding_a_horse_in_the_space_in_a_photorealistic_style.pt,20954050,18981833,18975043,6790,1972217,20.95405,18.981833,18.975043,0.00679,1.972217,19.983339,18.102487,18.096011,1.1039,0.035784,9.412104,f64cb6cba940ce9de0de0ad79fb54f7203c7074ccfd2e20f0bd0bd73f0147ce1,f64cb6cba940ce9de0de0ad79fb54f7203c7074ccfd2e20f0bd0bd73f0147ce1,True
